,center_number,center_name,total_candidates,state,city,high_scorers_623,high_scorers_700,Success rate
1780,280928,NOBLE PUBLIC SCHOOL,352,KERALA,MALAPPURAM,23,1,6.534090909090909
1781,280929,THE WHITE SCHOOL,345,KERALA,MALAPPURAM,23,0,6.666666666666667
3038,390113,TAK SHIKSHA NIKETAN,352,RAJASTHAN,AJMER,24,0,6.8181818181818175
3043,390204,GYAN VIDHI P.G. MAHAVIDYALAYA,566,RAJASTHAN,BIKANER,38,1,6.713780918727916
3044,390205,SETH TOLARAM BAFNA ACADEMY NOKHA RD BIKANER RAJ,569,RAJASTHAN,BIKANER,46,2,8.084358523725834
3045,390206,BJS RAMPURIA JAIN LAW COLLEGE,524,RAJASTHAN,BIKANER,46,1,8.778625954198473
3046,390207,SHRI JAIN PUBLIC SCHOOL BIKANER RAJ,493,RAJASTHAN,BIKANER,32,1,6.490872210953347
3047,390208,GOVT. SADUL SENIOR SECONDARY SCHOOL,402,RAJASTHAN,BIKANER,27,1,6.7164179104477615
3048,390209,SAHEED MAJOR JAMES THOMAS GOVT. SR. SEC. SCHOOL (GOVT.),351,RAJASTHAN,BIKANER,30,0,8.547008547008547
3050,390211,JESUS AND MARY SCHOOL,331,RAJASTHAN,BIKANER,27,1,8.157099697885197
3067,390315,MAHESHWARI PUBLIC SCHOOL,998,RAJASTHAN,JAIPUR,64,1,6.4128256513026045
3068,390316,YAGYAVALKYA INSTITUTE OF TECHNOLOGY,932,RAJASTHAN,JAIPUR,61,4,6.545064377682404
3072,390320,VADANTA INT SCHOOL KALWAD ROAD JAIPUR RAJ,889,RAJASTHAN,JAIPUR,59,1,6.636670416197974
3073,390321,INDIA INTERNATIONAL SCHOOL,819,RAJASTHAN,JAIPUR,54,5,6.593406593406594
3075,390323,DELHI PUBLIC SCHOOL,768,RAJASTHAN,JAIPUR,55,2,7.161458333333333
3077,390325,TAGORE INTERNATIONAL SCHOOL,775,RAJASTHAN,JAIPUR,53,4,6.838709677419355
3080,390328,DEFENCE PUBLIC SCHOOL,704,RAJASTHAN,JAIPUR,49,3,6.9602272727272725
3096,390344,S. V. PUBLIC SCHOOL,637,RAJASTHAN,JAIPUR,42,1,6.593406593406594
3121,390369,JANTA GIRLS PUBLIC SCHOOL,494,RAJASTHAN,JAIPUR,32,0,6.477732793522267
3123,390371,ST. JOSEPH CONVENT SCHOOL,491,RAJASTHAN,JAIPUR,39,1,7.942973523421588
3173,390501,MODERN SCHOOL,777,RAJASTHAN,KOTA,62,2,7.979407979407979
3174,390502,MODI INSTITUTE OF TECHNOLOGY,709,RAJASTHAN,KOTA,48,2,6.770098730606488
