,center_name,total_candidates,high_scorers,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
169,ANAND VISHWA GURUKUL COLLEGE OF LAW THANE,351,185,MAHARASHTRA,THANE,22,0,52.70655270655271
170,ANAND VISHWA GURUKUL SR. COLLEGE,378,214,MAHARASHTRA,THANE,22,1,56.613756613756614
171,ANANDALAYA NDD BOARD CAMPUS ANAND KHEDA GUJARAT,231,118,GUJARAT,ANAND,7,0,51.082251082251084
172,ANANDIBAI KALE SCHOOL AND COLLEGE OF COMMERCE,181,111,MAHARASHTRA,MUMBAI,27,0,61.32596685082873
173,ANANDRAM DHANDHANIA SARSWATI VIDYA MANDIR,675,373,BIHAR,BHAGALPUR,51,0,55.25925925925927
175,ANGEL PUBLIC SCHOOL,210,116,HIMACHAL PRADESH,MANDI,8,0,55.23809523809524
176,ANGELS PLANET SCHOOL,472,219,MADHYA PRADESH,KHANDWA,11,0,46.39830508474576
178,ANGLO VEDIC CONVENT SCHOOL,522,315,UTTAR PRADESH,BAHJOI,49,0,60.3448275862069
179,ANJALI HIGH SCHOOL,211,109,TELANGANA,SURYAPET,10,0,51.65876777251185
180,ANJUMAN ARTS SCIENCE COMMERCE COLLEGE & P G STUDIES DHARWAD,767,374,KARNATAKA,DHARWAD,30,0,48.76140808344198
181,ANJUMAN I ISLAM HIGH SCHOOL ENGLISH MEDIUM,303,200,MAHARASHTRA,MUMBAI,27,0,66.006600660066
182,ANKUR PUBLIC SCHOOL,928,282,BIHAR,PATNA,40,0,30.387931034482758
183,ANKUR PUBLIC SCHOOL,928,282,UTTAR PRADESH,ALIGARH,74,0,30.387931034482758
184,ANKUR PUBLIC SCHOOL,928,312,BIHAR,PATNA,40,0,33.62068965517241
185,ANKUR PUBLIC SCHOOL,928,312,UTTAR PRADESH,ALIGARH,74,0,33.62068965517241
186,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,701,364,ANDHRA PRADESH,KADAPA,27,0,51.925820256776035
187,ANNASAHEB DANGE COLLEGE OF ENGINEERING AND TECHNOLOGY ASHTA,586,314,MAHARASHTRA,SANGLI,43,0,53.58361774744027
188,ANNIE BESANT SCHOOL,586,344,MADHYA PRADESH,INDORE,40,1,58.703071672354945
190,ANTRI DEVI GOVT. GIRLS SR. SEC. SCHOOL,209,124,RAJASTHAN,BARMER,19,0,59.33014354066985
191,AP MODEL SCHOOL AND JR COLLEGE GOOTY,290,134,ANDHRA PRADESH,GOOTY,10,0,46.206896551724135
192,APEEJAY INTERNATIONAL SCHOOL,336,102,UTTAR PRADESH,NOIDA/GREATER NOIDA,20,1,30.357142857142854
194,APEEJAY SCHOOL KHARGHAR,492,309,MAHARASHTRA,NAVI MUMBAI,51,0,62.80487804878049
195,APEEJAY SCHOOL NOIDA,503,345,UTTAR PRADESH,NOIDA/GREATER NOIDA,63,0,68.58846918489066
197,APEX INSTITUTE OF TECHNOLOGY,228,34,UTTAR PRADESH,RAMPUR,2,0,14.912280701754385
198,APEX INTERNATIONAL SCHOOL,1262,321,KERALA,KOZHIKODE/CALICUT,68,1,25.435816164817748
199,APEX INTERNATIONAL SCHOOL,1262,321,RAJASTHAN,BARAN,12,1,25.435816164817748
200,APEX INTERNATIONAL SCHOOL,1262,321,RAJASTHAN,JAIPUR,108,1,25.435816164817748
201,APEX INTERNATIONAL SCHOOL,1262,120,KERALA,KOZHIKODE/CALICUT,68,1,9.508716323296355
202,APEX INTERNATIONAL SCHOOL,1262,120,RAJASTHAN,BARAN,12,1,9.508716323296355
203,APEX INTERNATIONAL SCHOOL,1262,120,RAJASTHAN,JAIPUR,108,1,9.508716323296355
204,APEX INTERNATIONAL SCHOOL,1262,432,KERALA,KOZHIKODE/CALICUT,68,1,34.23137876386688
205,APEX INTERNATIONAL SCHOOL,1262,432,RAJASTHAN,BARAN,12,1,34.23137876386688
206,APEX INTERNATIONAL SCHOOL,1262,432,RAJASTHAN,JAIPUR,108,1,34.23137876386688
208,APPASAHEB BIRNALE PUBLIC SSCHOOL SANGLI,496,256,MAHARASHTRA,SANGLI,38,0,51.61290322580645
209,APS ACADEMY,416,183,UTTAR PRADESH,LUCKNOW,30,0,43.99038461538461
210,APS INTERNATIONAL SCHOOL,685,159,UTTAR PRADESH,BUDAUN,12,0,23.21167883211679
211,APSARAPUBLIC SCHOOL,509,310,KERALA,KASARAGOD,32,0,60.90373280943025
212,AQJ CENTRE FOR PG STUDIES,891,597,ANDHRA PRADESH,VISAKHAPATNAM,103,1,67.003367003367
214,ARAMBAGH VIVEKANANDA ACADEMY ARAMBAGH HOOGHLY WB,693,480,WEST BENGAL,HOOGHLY,91,0,69.26406926406926
215,ARARIA PUBLIC SCHOOL,463,204,BIHAR,ARARIA,20,0,44.06047516198704
216,ARASU ENGINEERING COLLEGE,627,327,TAMIL NADU,THANJAVUR,36,0,52.15311004784689
217,ARAVALI PUBLIC SCHOOL,1288,127,HARYANA,MEWAT,11,5,9.86024844720497
218,ARAVALI PUBLIC SCHOOL,1288,127,RAJASTHAN,SIKAR,188,5,9.86024844720497
219,ARAVALI PUBLIC SCHOOL,1288,701,HARYANA,MEWAT,11,5,54.42546583850931
220,ARAVALI PUBLIC SCHOOL,1288,701,RAJASTHAN,SIKAR,188,5,54.42546583850931
221,ARAVINDA VIDYAMANDIRAM,456,268,KERALA,KOTTAYAM,69,1,58.77192982456141
222,ARB INTERNATIONAL SCHOOL,462,319,TAMIL NADU,COIMBATORE,69,0,69.04761904761905
223,ARIHANT INTERNATIONAL ACADEMY,183,40,,,0,0,21.85792349726776
225,ARISTO PUBLIC SCHOOL,695,331,TAMIL NADU,CUDDALORE,47,0,47.62589928057554
226,ARISTOTLE WORLD SCHOOL,488,297,UTTAR PRADESH,ETAWAH,36,0,60.86065573770492
228,ARMY PUB SCHOOL MATHURA CANTT UTTAR PRADESH,581,373,UTTAR PRADESH,MATHURA,56,2,64.19965576592082
229,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,2,2.7901077996195305
230,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,1,2.7901077996195305
231,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,2,2.7901077996195305
232,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,4,2.7901077996195305
233,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,1,2.7901077996195305
234,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,2,2.7901077996195305
235,ARMY PUBLIC SCHOOL,7885,220,ASSAM,TEZPUR,22,1,2.7901077996195305
236,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,2,2.7901077996195305
237,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,1,2.7901077996195305
238,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,2,2.7901077996195305
239,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,4,2.7901077996195305
240,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,1,2.7901077996195305
241,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,2,2.7901077996195305
242,ARMY PUBLIC SCHOOL,7885,220,BIHAR,PATNA,52,1,2.7901077996195305
243,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,2,2.7901077996195305
244,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,1,2.7901077996195305
245,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,2,2.7901077996195305
246,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,4,2.7901077996195305
247,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,1,2.7901077996195305
248,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,2,2.7901077996195305
249,ARMY PUBLIC SCHOOL,7885,220,HARYANA,AMBALA,76,1,2.7901077996195305
250,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,2,2.7901077996195305
251,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,1,2.7901077996195305
252,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,2,2.7901077996195305
253,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,4,2.7901077996195305
254,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,1,2.7901077996195305
255,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,2,2.7901077996195305
256,ARMY PUBLIC SCHOOL,7885,220,JHARKHAND,RANCHI,34,1,2.7901077996195305
257,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,2,2.7901077996195305
258,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,1,2.7901077996195305
259,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,2,2.7901077996195305
260,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,4,2.7901077996195305
261,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,1,2.7901077996195305
262,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,2,2.7901077996195305
263,ARMY PUBLIC SCHOOL,7885,220,KARNATAKA,BENGALURU- URBAN,93,1,2.7901077996195305
264,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,2,2.7901077996195305
265,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,1,2.7901077996195305
266,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,2,2.7901077996195305
267,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,4,2.7901077996195305
268,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,1,2.7901077996195305
269,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,2,2.7901077996195305
270,ARMY PUBLIC SCHOOL,7885,220,PUNJAB,JALANDHAR,72,1,2.7901077996195305
271,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,2,2.7901077996195305
272,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,1,2.7901077996195305
273,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,2,2.7901077996195305
274,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,4,2.7901077996195305
275,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,1,2.7901077996195305
276,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,2,2.7901077996195305
277,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,JODHPUR,59,1,2.7901077996195305
278,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,2,2.7901077996195305
279,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,1,2.7901077996195305
280,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,2,2.7901077996195305
281,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,4,2.7901077996195305
282,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,1,2.7901077996195305
283,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,2,2.7901077996195305
284,ARMY PUBLIC SCHOOL,7885,220,RAJASTHAN,KOTA,117,1,2.7901077996195305
285,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,2,2.7901077996195305
286,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,1,2.7901077996195305
287,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,2,2.7901077996195305
288,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,4,2.7901077996195305
289,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,1,2.7901077996195305
290,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,2,2.7901077996195305
291,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,BAREILLY,73,1,2.7901077996195305
292,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,2,2.7901077996195305
293,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,1,2.7901077996195305
294,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,2,2.7901077996195305
295,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,4,2.7901077996195305
296,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,1,2.7901077996195305
297,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,2,2.7901077996195305
298,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,GORAKHPUR,41,1,2.7901077996195305
299,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,2,2.7901077996195305
300,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,1,2.7901077996195305
301,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,2,2.7901077996195305
302,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,4,2.7901077996195305
303,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,1,2.7901077996195305
304,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,2,2.7901077996195305
305,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,KANPUR,91,1,2.7901077996195305
306,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,2,2.7901077996195305
307,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,1,2.7901077996195305
308,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,2,2.7901077996195305
309,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,4,2.7901077996195305
310,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,1,2.7901077996195305
311,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,2,2.7901077996195305
312,ARMY PUBLIC SCHOOL,7885,220,UTTAR PRADESH,MEERUT,55,1,2.7901077996195305
313,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,2,4.273937856689917
314,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,1,4.273937856689917
315,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,2,4.273937856689917
316,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,4,4.273937856689917
317,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,1,4.273937856689917
318,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,2,4.273937856689917
319,ARMY PUBLIC SCHOOL,7885,337,ASSAM,TEZPUR,22,1,4.273937856689917
320,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,2,4.273937856689917
321,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,1,4.273937856689917
322,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,2,4.273937856689917
323,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,4,4.273937856689917
324,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,1,4.273937856689917
325,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,2,4.273937856689917
326,ARMY PUBLIC SCHOOL,7885,337,BIHAR,PATNA,52,1,4.273937856689917
327,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,2,4.273937856689917
328,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,1,4.273937856689917
329,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,2,4.273937856689917
330,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,4,4.273937856689917
331,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,1,4.273937856689917
332,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,2,4.273937856689917
333,ARMY PUBLIC SCHOOL,7885,337,HARYANA,AMBALA,76,1,4.273937856689917
334,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,2,4.273937856689917
335,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,1,4.273937856689917
336,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,2,4.273937856689917
337,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,4,4.273937856689917
338,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,1,4.273937856689917
339,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,2,4.273937856689917
340,ARMY PUBLIC SCHOOL,7885,337,JHARKHAND,RANCHI,34,1,4.273937856689917
341,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,2,4.273937856689917
342,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,1,4.273937856689917
343,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,2,4.273937856689917
344,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,4,4.273937856689917
345,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,1,4.273937856689917
346,ARMY PUBLIC SCHOOL,7885,337,KARNATAKA,BENGALURU- URBAN,93,2,4.273937856689917
